category_id,category_name,intent_id,question,answer
1,Attendance and Academic Compliance,C1_Q2,What formula is used for attendance calculation?,"Attendance is calculated as the number of classes attended divided by the total number of classes conducted for a subject, multiplied by 100. Overall course attendance is calculated by combining all subjects in the term."
1,Attendance and Academic Compliance,C1_Q2,How are attended classes counted in attendance?,"Attendance is calculated as the number of classes attended divided by the total number of classes conducted for a subject, multiplied by 100. Overall course attendance is calculated by combining all subjects in the term."
1,Attendance and Academic Compliance,C1_Q2,Is overall attendance calculated for the semester?,"Attendance is calculated as the number of classes attended divided by the total number of classes conducted for a subject, multiplied by 100. Overall course attendance is calculated by combining all subjects in the term."
1,Attendance and Academic Compliance,C1_Q2,How is total attendance computed for a course?,"Attendance is calculated as the number of classes attended divided by the total number of classes conducted for a subject, multiplied by 100. Overall course attendance is calculated by combining all subjects in the term."
1,Attendance and Academic Compliance,C1_Q2,Are all subjects included in attendance calculation?,"Attendance is calculated as the number of classes attended divided by the total number of classes conducted for a subject, multiplied by 100. Overall course attendance is calculated by combining all subjects in the term."
1,Attendance and Academic Compliance,C1_Q2,How is attendance percentage derived from class records?,"Attendance is calculated as the number of classes attended divided by the total number of classes conducted for a subject, multiplied by 100. Overall course attendance is calculated by combining all subjects in the term."
1,Attendance and Academic Compliance,C1_Q3,What are the consequences of low attendance?,"If attendance falls below the minimum requirement, the semester may be declared a zero semester. The student may be required to repeat examinations in the next academic cycle. Repeated failure without valid reasons may lead to further academic action."
1,Attendance and Academic Compliance,C1_Q3,What happens if attendance is below the required level?,"If attendance falls below the minimum requirement, the semester may be declared a zero semester. The student may be required to repeat examinations in the next academic cycle. Repeated failure without valid reasons may lead to further academic action."
1,Attendance and Academic Compliance,C1_Q3,Can low attendance affect promotion to the next semester?,"If attendance falls below the minimum requirement, the semester may be declared a zero semester. The student may be required to repeat examinations in the next academic cycle. Repeated failure without valid reasons may lead to further academic action."
1,Attendance and Academic Compliance,C1_Q3,Is there any penalty for poor attendance?,"If attendance falls below the minimum requirement, the semester may be declared a zero semester. The student may be required to repeat examinations in the next academic cycle. Repeated failure without valid reasons may lead to further academic action."
1,Attendance and Academic Compliance,C1_Q3,What action is taken if attendance requirements are not met?,"If attendance falls below the minimum requirement, the semester may be declared a zero semester. The student may be required to repeat examinations in the next academic cycle. Repeated failure without valid reasons may lead to further academic action."
1,Attendance and Academic Compliance,C1_Q3,Does low attendance lead to a zero semester?,"If attendance falls below the minimum requirement, the semester may be declared a zero semester. The student may be required to repeat examinations in the next academic cycle. Repeated failure without valid reasons may lead to further academic action."
1,Attendance and Academic Compliance,C1_Q3,Can students repeat exams due to low attendance?,"If attendance falls below the minimum requirement, the semester may be declared a zero semester. The student may be required to repeat examinations in the next academic cycle. Repeated failure without valid reasons may lead to further academic action."
1,Attendance and Academic Compliance,C1_Q3,What are the academic consequences of attendance shortage?,"If attendance falls below the minimum requirement, the semester may be declared a zero semester. The student may be required to repeat examinations in the next academic cycle. Repeated failure without valid reasons may lead to further academic action."
1,Attendance and Academic Compliance,C1_Q3,Is repeating a semester required for low attendance?,"If attendance falls below the minimum requirement, the semester may be declared a zero semester. The student may be required to repeat examinations in the next academic cycle. Repeated failure without valid reasons may lead to further academic action."
1,Attendance and Academic Compliance,C1_Q3,What if attendance falls far below the minimum?,"If attendance falls below the minimum requirement, the semester may be declared a zero semester. The student may be required to repeat examinations in the next academic cycle. Repeated failure without valid reasons may lead to further academic action."
1,Attendance and Academic Compliance,C1_Q3,Are disciplinary actions possible due to attendance issues?,"If attendance falls below the minimum requirement, the semester may be declared a zero semester. The student may be required to repeat examinations in the next academic cycle. Repeated failure without valid reasons may lead to further academic action."
1,Attendance and Academic Compliance,C1_Q4,Are there any attendance relaxation rules?,"Limited relaxation may be granted if a student narrowly misses the attendance requirement. In exceptional situations affecting multiple students, uniform attendance adjustments may be applied."
1,Attendance and Academic Compliance,C1_Q4,Is attendance relaxation allowed in any case?,"Limited relaxation may be granted if a student narrowly misses the attendance requirement. In exceptional situations affecting multiple students, uniform attendance adjustments may be applied."
1,Attendance and Academic Compliance,C1_Q4,Can attendance rules be relaxed for students?,"Limited relaxation may be granted if a student narrowly misses the attendance requirement. In exceptional situations affecting multiple students, uniform attendance adjustments may be applied."
1,Attendance and Academic Compliance,C1_Q4,Are there exceptions to attendance requirements?,"Limited relaxation may be granted if a student narrowly misses the attendance requirement. In exceptional situations affecting multiple students, uniform attendance adjustments may be applied."
1,Attendance and Academic Compliance,C1_Q4,What happens if attendance is slightly below the limit?,"Limited relaxation may be granted if a student narrowly misses the attendance requirement. In exceptional situations affecting multiple students, uniform attendance adjustments may be applied."
1,Attendance and Academic Compliance,C1_Q4,Can students get attendance concession?,"Limited relaxation may be granted if a student narrowly misses the attendance requirement. In exceptional situations affecting multiple students, uniform attendance adjustments may be applied."
1,Attendance and Academic Compliance,C1_Q4,Is attendance relaxation granted in special situations?,"Limited relaxation may be granted if a student narrowly misses the attendance requirement. In exceptional situations affecting multiple students, uniform attendance adjustments may be applied."
1,Attendance and Academic Compliance,C1_Q4,Are attendance rules flexible in emergencies?,"Limited relaxation may be granted if a student narrowly misses the attendance requirement. In exceptional situations affecting multiple students, uniform attendance adjustments may be applied."
1,Attendance and Academic Compliance,C1_Q4,Can attendance be adjusted for exceptional cases?,"Limited relaxation may be granted if a student narrowly misses the attendance requirement. In exceptional situations affecting multiple students, uniform attendance adjustments may be applied."
1,Attendance and Academic Compliance,C1_Q4,Is relaxation possible for marginal attendance shortage?,"Limited relaxation may be granted if a student narrowly misses the attendance requirement. In exceptional situations affecting multiple students, uniform attendance adjustments may be applied."
1,Attendance and Academic Compliance,C1_Q4,Do universities allow attendance leniency?,"Limited relaxation may be granted if a student narrowly misses the attendance requirement. In exceptional situations affecting multiple students, uniform attendance adjustments may be applied."
1,Attendance and Academic Compliance,C1_Q5,Does medical leave affect attendance?,Medical situations are considered valid grounds for attendance consideration. Students must submit a formal application along with supporting medical documents.
1,Attendance and Academic Compliance,C1_Q5,Is medical leave counted in attendance?,Medical situations are considered valid grounds for attendance consideration. Students must submit a formal application along with supporting medical documents.
1,Attendance and Academic Compliance,C1_Q5,Can medical reasons justify low attendance?,Medical situations are considered valid grounds for attendance consideration. Students must submit a formal application along with supporting medical documents.
1,Attendance and Academic Compliance,C1_Q5,Does illness affect attendance eligibility?,Medical situations are considered valid grounds for attendance consideration. Students must submit a formal application along with supporting medical documents.
1,Attendance and Academic Compliance,C1_Q5,Is attendance relaxed for medical cases?,Medical situations are considered valid grounds for attendance consideration. Students must submit a formal application along with supporting medical documents.
1,Attendance and Academic Compliance,C1_Q5,What if a student misses classes due to illness?,Medical situations are considered valid grounds for attendance consideration. Students must submit a formal application along with supporting medical documents.
1,Attendance and Academic Compliance,C1_Q5,Are medical documents required for attendance consideration?,Medical situations are considered valid grounds for attendance consideration. Students must submit a formal application along with supporting medical documents.
1,Attendance and Academic Compliance,C1_Q5,Can attendance be reviewed on medical grounds?,Medical situations are considered valid grounds for attendance consideration. Students must submit a formal application along with supporting medical documents.
1,Attendance and Academic Compliance,C1_Q5,How are medical absences treated academically?,Medical situations are considered valid grounds for attendance consideration. Students must submit a formal application along with supporting medical documents.
1,Attendance and Academic Compliance,C1_Q5,Is medical leave considered a valid reason for attendance shortage?,Medical situations are considered valid grounds for attendance consideration. Students must submit a formal application along with supporting medical documents.
1,Attendance and Academic Compliance,C1_Q5,Can students apply for attendance consideration due to health issues?,Medical situations are considered valid grounds for attendance consideration. Students must submit a formal application along with supporting medical documents.
1,Attendance and Academic Compliance,C1_Q6,What is the attendance requirement for lab courses?,Lab courses generally require a minimum of 85% attendance. Relaxation may be considered only with valid medical reasons.
1,Attendance and Academic Compliance,C1_Q6,Is lab attendance different from theory classes?,Lab courses generally require a minimum of 85% attendance. Relaxation may be considered only with valid medical reasons.
1,Attendance and Academic Compliance,C1_Q6,What is the minimum attendance required for lab sessions?,Lab courses generally require a minimum of 85% attendance. Relaxation may be considered only with valid medical reasons.
1,Attendance and Academic Compliance,C1_Q6,Do lab courses have higher attendance requirements?,Lab courses generally require a minimum of 85% attendance. Relaxation may be considered only with valid medical reasons.
1,Attendance and Academic Compliance,C1_Q6,How much attendance is mandatory in lab subjects?,Lab courses generally require a minimum of 85% attendance. Relaxation may be considered only with valid medical reasons.
1,Attendance and Academic Compliance,C1_Q6,Is 85 percent attendance required for lab courses?,Lab courses generally require a minimum of 85% attendance. Relaxation may be considered only with valid medical reasons.
1,Attendance and Academic Compliance,C1_Q6,Can lab attendance be relaxed?,Lab courses generally require a minimum of 85% attendance. Relaxation may be considered only with valid medical reasons.
1,Attendance and Academic Compliance,C1_Q6,Are lab classes strict about attendance?,Lab courses generally require a minimum of 85% attendance. Relaxation may be considered only with valid medical reasons.
1,Attendance and Academic Compliance,C1_Q6,What happens if lab attendance is low?,Lab courses generally require a minimum of 85% attendance. Relaxation may be considered only with valid medical reasons.
1,Attendance and Academic Compliance,C1_Q6,Are medical reasons considered for lab attendance?,Lab courses generally require a minimum of 85% attendance. Relaxation may be considered only with valid medical reasons.
1,Attendance and Academic Compliance,C1_Q6,Is lab attendance compulsory for course completion?,Lab courses generally require a minimum of 85% attendance. Relaxation may be considered only with valid medical reasons.
1,Attendance and Academic Compliance,C1_Q7,Is attendance policy applied semester-wise?,Attendance rules are applied uniformly every semester unless officially revised.
1,Attendance and Academic Compliance,C1_Q7,Is attendance calculated separately for each semester?,Attendance rules are applied uniformly every semester unless officially revised.
1,Attendance and Academic Compliance,C1_Q7,Are attendance rules the same every semester?,Attendance rules are applied uniformly every semester unless officially revised.
1,Attendance and Academic Compliance,C1_Q7,Does attendance reset each semester?,Attendance rules are applied uniformly every semester unless officially revised.
1,Attendance and Academic Compliance,C1_Q7,Is attendance policy applied term-wise?,Attendance rules are applied uniformly every semester unless officially revised.
1,Attendance and Academic Compliance,C1_Q7,Are attendance requirements repeated every semester?,Attendance rules are applied uniformly every semester unless officially revised.
1,Attendance and Academic Compliance,C1_Q7,Does previous semester attendance affect the next one?,Attendance rules are applied uniformly every semester unless officially revised.
1,Attendance and Academic Compliance,C1_Q7,Is attendance evaluated on a semester basis?,Attendance rules are applied uniformly every semester unless officially revised.
1,Attendance and Academic Compliance,C1_Q7,Are attendance rules consistent across semesters?,Attendance rules are applied uniformly every semester unless officially revised.
1,Attendance and Academic Compliance,C1_Q7,Is attendance policy revised every term?,Attendance rules are applied uniformly every semester unless officially revised.
1,Attendance and Academic Compliance,C1_Q7,Does each semester have independent attendance criteria?,Attendance rules are applied uniformly every semester unless officially revised.
2,Course Registration and Enrollment,C2_Q1,When does course registration start?,"Course registration generally begins around the third week of April each academic year, as notified through official academic communication."
2,Course Registration and Enrollment,C2_Q1,What is the start date for course registration?,"Course registration generally begins around the third week of April each academic year, as notified through official academic communication."
2,Course Registration and Enrollment,C2_Q1,When are students allowed to begin course registration?,"Course registration generally begins around the third week of April each academic year, as notified through official academic communication."
2,Course Registration and Enrollment,C2_Q1,From which date does course registration open?,"Course registration generally begins around the third week of April each academic year, as notified through official academic communication."
2,Course Registration and Enrollment,C2_Q1,When does the registration process usually begin?,"Course registration generally begins around the third week of April each academic year, as notified through official academic communication."
2,Course Registration and Enrollment,C2_Q1,Is course registration started in April?,"Course registration generally begins around the third week of April each academic year, as notified through official academic communication."
2,Course Registration and Enrollment,C2_Q1,What is the usual time for course registration?,"Course registration generally begins around the third week of April each academic year, as notified through official academic communication."
2,Course Registration and Enrollment,C2_Q1,When can students register for courses?,"Course registration generally begins around the third week of April each academic year, as notified through official academic communication."
2,Course Registration and Enrollment,C2_Q1,At what time of the year does registration begin?,"Course registration generally begins around the third week of April each academic year, as notified through official academic communication."
2,Course Registration and Enrollment,C2_Q1,When is the course enrollment period opened?,"Course registration generally begins around the third week of April each academic year, as notified through official academic communication."
2,Course Registration and Enrollment,C2_Q1,Is there a fixed month when course registration starts?,"Course registration generally begins around the third week of April each academic year, as notified through official academic communication."
2,Course Registration and Enrollment,C2_Q2,What is the registration deadline?,"A fixed registration window is provided, typically lasting up to two months, after which no new registrations are accepted."
2,Course Registration and Enrollment,C2_Q2,What is the last date for course registration?,"A fixed registration window is provided, typically lasting up to two months, after which no new registrations are accepted."
2,Course Registration and Enrollment,C2_Q2,How long is the course registration window?,"A fixed registration window is provided, typically lasting up to two months, after which no new registrations are accepted."
2,Course Registration and Enrollment,C2_Q2,When does course registration close?,"A fixed registration window is provided, typically lasting up to two months, after which no new registrations are accepted."
2,Course Registration and Enrollment,C2_Q2,Is there a deadline for registering courses?,"A fixed registration window is provided, typically lasting up to two months, after which no new registrations are accepted."
2,Course Registration and Enrollment,C2_Q2,Till when can students complete registration?,"A fixed registration window is provided, typically lasting up to two months, after which no new registrations are accepted."
2,Course Registration and Enrollment,C2_Q2,What happens if registration is not completed on time?,"A fixed registration window is provided, typically lasting up to two months, after which no new registrations are accepted."
2,Course Registration and Enrollment,C2_Q2,Is late submission accepted after the deadline?,"A fixed registration window is provided, typically lasting up to two months, after which no new registrations are accepted."
2,Course Registration and Enrollment,C2_Q2,Are registrations allowed beyond the given period?,"A fixed registration window is provided, typically lasting up to two months, after which no new registrations are accepted."
2,Course Registration and Enrollment,C2_Q2,How many days are provided for course registration?,"A fixed registration window is provided, typically lasting up to two months, after which no new registrations are accepted."
2,Course Registration and Enrollment,C2_Q2,Is the registration deadline strictly enforced?,"A fixed registration window is provided, typically lasting up to two months, after which no new registrations are accepted."
2,Course Registration and Enrollment,C2_Q3,Are there late registration rules?,Late registration may be permitted for a limited period with an applicable late fee. Registrations submitted beyond the allowed delay period are generally cancelled.
2,Course Registration and Enrollment,C2_Q3,Can students register late for courses?,Late registration may be permitted for a limited period with an applicable late fee. Registrations submitted beyond the allowed delay period are generally cancelled.
2,Course Registration and Enrollment,C2_Q3,Is late course registration allowed?,Late registration may be permitted for a limited period with an applicable late fee. Registrations submitted beyond the allowed delay period are generally cancelled.
2,Course Registration and Enrollment,C2_Q3,What happens if registration is done after the deadline?,Late registration may be permitted for a limited period with an applicable late fee. Registrations submitted beyond the allowed delay period are generally cancelled.
2,Course Registration and Enrollment,C2_Q3,Are there penalties for late registration?,Late registration may be permitted for a limited period with an applicable late fee. Registrations submitted beyond the allowed delay period are generally cancelled.
2,Course Registration and Enrollment,C2_Q3,Is a late fee charged for delayed registration?,Late registration may be permitted for a limited period with an applicable late fee. Registrations submitted beyond the allowed delay period are generally cancelled.
2,Course Registration and Enrollment,C2_Q3,How long is the late registration period?,Late registration may be permitted for a limited period with an applicable late fee. Registrations submitted beyond the allowed delay period are generally cancelled.
2,Course Registration and Enrollment,C2_Q3,Can registration be accepted after the official deadline?,Late registration may be permitted for a limited period with an applicable late fee. Registrations submitted beyond the allowed delay period are generally cancelled.
2,Course Registration and Enrollment,C2_Q3,Are late registrations always approved?,Late registration may be permitted for a limited period with an applicable late fee. Registrations submitted beyond the allowed delay period are generally cancelled.
2,Course Registration and Enrollment,C2_Q3,What are the rules for delayed course registration?,Late registration may be permitted for a limited period with an applicable late fee. Registrations submitted beyond the allowed delay period are generally cancelled.
2,Course Registration and Enrollment,C2_Q3,Is late registration discouraged academically?,Late registration may be permitted for a limited period with an applicable late fee. Registrations submitted beyond the allowed delay period are generally cancelled.
2,Course Registration and Enrollment,C2_Q4,Can courses be added or dropped after registration?,"Course additions or withdrawals are permitted only within the designated edit window following registration. After this period, no changes are allowed."
2,Course Registration and Enrollment,C2_Q4,Can students change courses after registration?,"Course additions or withdrawals are permitted only within the designated edit window following registration. After this period, no changes are allowed."
2,Course Registration and Enrollment,C2_Q4,Is it possible to add a course later?,"Course additions or withdrawals are permitted only within the designated edit window following registration. After this period, no changes are allowed."
2,Course Registration and Enrollment,C2_Q4,Can a registered course be dropped?,"Course additions or withdrawals are permitted only within the designated edit window following registration. After this period, no changes are allowed."
2,Course Registration and Enrollment,C2_Q4,Is there a time window for course modification?,"Course additions or withdrawals are permitted only within the designated edit window following registration. After this period, no changes are allowed."
2,Course Registration and Enrollment,C2_Q4,Are course changes allowed after enrollment?,"Course additions or withdrawals are permitted only within the designated edit window following registration. After this period, no changes are allowed."
2,Course Registration and Enrollment,C2_Q4,When can students edit their registered courses?,"Course additions or withdrawals are permitted only within the designated edit window following registration. After this period, no changes are allowed."
2,Course Registration and Enrollment,C2_Q4,Are course adjustments permitted after registration closes?,"Course additions or withdrawals are permitted only within the designated edit window following registration. After this period, no changes are allowed."
2,Course Registration and Enrollment,C2_Q4,Is dropping a course allowed mid-semester?,"Course additions or withdrawals are permitted only within the designated edit window following registration. After this period, no changes are allowed."
2,Course Registration and Enrollment,C2_Q4,Can course registration be modified later?,"Course additions or withdrawals are permitted only within the designated edit window following registration. After this period, no changes are allowed."
2,Course Registration and Enrollment,C2_Q4,Are course changes restricted after a certain period?,"Course additions or withdrawals are permitted only within the designated edit window following registration. After this period, no changes are allowed."
2,Course Registration and Enrollment,C2_Q5,How does the elective selection process work?,"Electives are selected as per the program structure, usually after the first term or during the designated elective registration period."
2,Course Registration and Enrollment,C2_Q5,When can students choose elective subjects?,"Electives are selected as per the program structure, usually after the first term or during the designated elective registration period."
2,Course Registration and Enrollment,C2_Q5,How are electives allotted to students?,"Electives are selected as per the program structure, usually after the first term or during the designated elective registration period."
2,Course Registration and Enrollment,C2_Q5,What is the procedure for selecting electives?,"Electives are selected as per the program structure, usually after the first term or during the designated elective registration period."
2,Course Registration and Enrollment,C2_Q5,Are electives chosen in the first semester?,"Electives are selected as per the program structure, usually after the first term or during the designated elective registration period."
2,Course Registration and Enrollment,C2_Q5,How does elective registration take place?,"Electives are selected as per the program structure, usually after the first term or during the designated elective registration period."
2,Course Registration and Enrollment,C2_Q5,Is elective selection mandatory for all programs?,"Electives are selected as per the program structure, usually after the first term or during the designated elective registration period."
2,Course Registration and Enrollment,C2_Q5,When does the elective selection window open?,"Electives are selected as per the program structure, usually after the first term or during the designated elective registration period."
2,Course Registration and Enrollment,C2_Q5,Are electives selected online or offline?,"Electives are selected as per the program structure, usually after the first term or during the designated elective registration period."
2,Course Registration and Enrollment,C2_Q5,Can electives be changed after selection?,"Electives are selected as per the program structure, usually after the first term or during the designated elective registration period."
2,Course Registration and Enrollment,C2_Q5,Is elective choice based on program guidelines?,"Electives are selected as per the program structure, usually after the first term or during the designated elective registration period."
2,Course Registration and Enrollment,C2_Q6,Are there credit limits per semester?,"Credit limits per semester are defined under program regulations. In special academic cases, additional credits may be approved with permission."
2,Course Registration and Enrollment,C2_Q6,Is there a maximum credit limit per semester?,"Credit limits per semester are defined under program regulations. In special academic cases, additional credits may be approved with permission."
2,Course Registration and Enrollment,C2_Q6,How many credits can a student register in one term?,"Credit limits per semester are defined under program regulations. In special academic cases, additional credits may be approved with permission."
2,Course Registration and Enrollment,C2_Q6,Are students allowed to exceed the credit limit?,"Credit limits per semester are defined under program regulations. In special academic cases, additional credits may be approved with permission."
2,Course Registration and Enrollment,C2_Q6,What is the normal credit load per semester?,"Credit limits per semester are defined under program regulations. In special academic cases, additional credits may be approved with permission."
2,Course Registration and Enrollment,C2_Q6,Is approval required to take extra credits?,"Credit limits per semester are defined under program regulations. In special academic cases, additional credits may be approved with permission."
2,Course Registration and Enrollment,C2_Q6,Are credit limits fixed for all programs?,"Credit limits per semester are defined under program regulations. In special academic cases, additional credits may be approved with permission."
2,Course Registration and Enrollment,C2_Q6,Can students take fewer credits than prescribed?,"Credit limits per semester are defined under program regulations. In special academic cases, additional credits may be approved with permission."
2,Course Registration and Enrollment,C2_Q6,What happens if credit limits are exceeded?,"Credit limits per semester are defined under program regulations. In special academic cases, additional credits may be approved with permission."
2,Course Registration and Enrollment,C2_Q6,Are semester credit rules strictly enforced?,"Credit limits per semester are defined under program regulations. In special academic cases, additional credits may be approved with permission."
2,Course Registration and Enrollment,C2_Q6,Is credit registration flexible in special cases?,"Credit limits per semester are defined under program regulations. In special academic cases, additional credits may be approved with permission."
2,Course Registration and Enrollment,C2_Q7,What is the purpose of the registration portal?,The registration portal is used for course enrollment and for viewing academic-related information such as examination results and registration status.
2,Course Registration and Enrollment,C2_Q7,Why is the registration portal used?,The registration portal is used for course enrollment and for viewing academic-related information such as examination results and registration status.
2,Course Registration and Enrollment,C2_Q7,What functions does the registration portal provide?,The registration portal is used for course enrollment and for viewing academic-related information such as examination results and registration status.
2,Course Registration and Enrollment,C2_Q7,Is the portal used only for course registration?,The registration portal is used for course enrollment and for viewing academic-related information such as examination results and registration status.
2,Course Registration and Enrollment,C2_Q7,Can students view academic details on the portal?,The registration portal is used for course enrollment and for viewing academic-related information such as examination results and registration status.
2,Course Registration and Enrollment,C2_Q7,What information is available through the registration system?,The registration portal is used for course enrollment and for viewing academic-related information such as examination results and registration status.
2,Course Registration and Enrollment,C2_Q7,Is the registration portal mandatory for students?,The registration portal is used for course enrollment and for viewing academic-related information such as examination results and registration status.
2,Course Registration and Enrollment,C2_Q7,Can results be checked through the portal?,The registration portal is used for course enrollment and for viewing academic-related information such as examination results and registration status.
2,Course Registration and Enrollment,C2_Q7,Does the portal show registration status?,The registration portal is used for course enrollment and for viewing academic-related information such as examination results and registration status.
2,Course Registration and Enrollment,C2_Q7,Is the portal used every semester?,The registration portal is used for course enrollment and for viewing academic-related information such as examination results and registration status.
2,Course Registration and Enrollment,C2_Q7,What academic services are offered through the portal?,The registration portal is used for course enrollment and for viewing academic-related information such as examination results and registration status.
3,Examination Rules and Evaluation,C3_Q1,Who is eligible to appear for examinations?,Students are eligible to appear for examinations if they meet the prescribed attendance requirements and fulfill all academic eligibility criteria for the course.
3,Examination Rules and Evaluation,C3_Q1,What are the eligibility conditions for appearing in exams?,Students are eligible to appear for examinations if they meet the prescribed attendance requirements and fulfill all academic eligibility criteria for the course.
3,Examination Rules and Evaluation,C3_Q1,Who can sit for semester examinations?,Students are eligible to appear for examinations if they meet the prescribed attendance requirements and fulfill all academic eligibility criteria for the course.
3,Examination Rules and Evaluation,C3_Q1,Are there attendance requirements for exam eligibility?,Students are eligible to appear for examinations if they meet the prescribed attendance requirements and fulfill all academic eligibility criteria for the course.
3,Examination Rules and Evaluation,C3_Q1,What criteria must be met to appear for exams?,Students are eligible to appear for examinations if they meet the prescribed attendance requirements and fulfill all academic eligibility criteria for the course.
3,Examination Rules and Evaluation,C3_Q1,Can students with low attendance appear for examinations?,Students are eligible to appear for examinations if they meet the prescribed attendance requirements and fulfill all academic eligibility criteria for the course.
3,Examination Rules and Evaluation,C3_Q1,Is eligibility required before writing exams?,Students are eligible to appear for examinations if they meet the prescribed attendance requirements and fulfill all academic eligibility criteria for the course.
3,Examination Rules and Evaluation,C3_Q1,What makes a student eligible for examinations?,Students are eligible to appear for examinations if they meet the prescribed attendance requirements and fulfill all academic eligibility criteria for the course.
3,Examination Rules and Evaluation,C3_Q1,Are all registered students allowed to appear for exams?,Students are eligible to appear for examinations if they meet the prescribed attendance requirements and fulfill all academic eligibility criteria for the course.
3,Examination Rules and Evaluation,C3_Q1,Is exam eligibility linked to attendance?,Students are eligible to appear for examinations if they meet the prescribed attendance requirements and fulfill all academic eligibility criteria for the course.
3,Examination Rules and Evaluation,C3_Q1,What academic conditions are required to take exams?,Students are eligible to appear for examinations if they meet the prescribed attendance requirements and fulfill all academic eligibility criteria for the course.
3,Examination Rules and Evaluation,C3_Q2,What is the internal assessment weightage?,"Internal assessments may contribute up to 20 percent of the total evaluation in certain programs, depending on the course structure."
3,Examination Rules and Evaluation,C3_Q2,How much weightage is given to internal assessments?,"Internal assessments may contribute up to 20 percent of the total evaluation in certain programs, depending on the course structure."
3,Examination Rules and Evaluation,C3_Q2,What percentage of marks comes from internal evaluation?,"Internal assessments may contribute up to 20 percent of the total evaluation in certain programs, depending on the course structure."
3,Examination Rules and Evaluation,C3_Q2,Are internal assessments counted in final grades?,"Internal assessments may contribute up to 20 percent of the total evaluation in certain programs, depending on the course structure."
3,Examination Rules and Evaluation,C3_Q2,Is there a fixed internal assessment weightage?,"Internal assessments may contribute up to 20 percent of the total evaluation in certain programs, depending on the course structure."
3,Examination Rules and Evaluation,C3_Q2,Do all courses have internal assessment marks?,"Internal assessments may contribute up to 20 percent of the total evaluation in certain programs, depending on the course structure."
3,Examination Rules and Evaluation,C3_Q2,How important are internal assessments in evaluation?,"Internal assessments may contribute up to 20 percent of the total evaluation in certain programs, depending on the course structure."
3,Examination Rules and Evaluation,C3_Q2,What role do internal assessments play in grading?,"Internal assessments may contribute up to 20 percent of the total evaluation in certain programs, depending on the course structure."
3,Examination Rules and Evaluation,C3_Q2,Is internal evaluation mandatory for all programs?,"Internal assessments may contribute up to 20 percent of the total evaluation in certain programs, depending on the course structure."
3,Examination Rules and Evaluation,C3_Q2,How are internal marks included in results?,"Internal assessments may contribute up to 20 percent of the total evaluation in certain programs, depending on the course structure."
3,Examination Rules and Evaluation,C3_Q2,Can internal assessment affect final performance?,"Internal assessments may contribute up to 20 percent of the total evaluation in certain programs, depending on the course structure."
